file: cl_flux_energy.fits, z bin: 1, includes first ell: False, [0.16,0.5,0.84] quantiles: [-131.6760557   -33.10995876   62.83087739], A = -33.10995875974284 (+95.94083614555309, -98.56609694182193)

file: cl_flux_energy.fits, z bin: 2, includes first ell: False, [0.16,0.5,0.84] quantiles: [-14.11154652 107.13038087 226.7175811 ], A = 107.13038087329575 (+119.58720023142287, -121.2419273916935)

file: cl_flux_energy.fits, z bin: 3, includes first ell: False, [0.16,0.5,0.84] quantiles: [-176.99585939  -50.19839927   78.08702298], A = -50.19839927119661 (+128.28542224824628, -126.79746011868058)

file: cl_flux_energy.fits, z bin: 4, includes first ell: False, [0.16,0.5,0.84] quantiles: [-325.10157589 -164.28420647   -7.01297976], A = -164.28420646913088 (+157.2712267129177, -160.81736941810044)

file: cl_flux_energy.fits, z bin: 5, includes first ell: False, [0.16,0.5,0.84] quantiles: [-471.38562109 -248.9460128   -31.59660808], A = -248.9460128043661 (+217.349404723663, -222.4396082905675)

file: cl_flux_energy.fits, z bin: 6, includes first ell: False, [0.16,0.5,0.84] quantiles: [-159.75782981  -55.41654798   51.94600513], A = -55.41654797935858 (+107.36255311310362, -104.34128183085717)

file: cl_flux_energy.fits, z bin: 7, includes first ell: False, [0.16,0.5,0.84] quantiles: [-348.47623914 -168.16162245   20.64329975], A = -168.1616224486944 (+188.80492220056158, -180.31461669496872)

file: cl_flux_energy.fits, z bin: 8, includes first ell: False, [0.16,0.5,0.84] quantiles: [-341.17355721  -68.19557711  200.00411057], A = -68.19557711084644 (+268.1996876820908, -272.9779801021764)

file: cl_flux_energy.fits, z bin: 9, includes first ell: False, [0.16,0.5,0.84] quantiles: [-3068.67966713 -1400.39390411   236.75021519], A = -1400.3939041112676 (+1637.1441192971643, -1668.2857630211074)

file: cl_flux_energy.fits, z bin: 10, includes first ell: False, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.68260107711757 (+7.165681381593458e-10, -3.127240688627353e-10)

file: cl_flux_energy.fits, z bin: 11, includes first ell: False, [0.16,0.5,0.84] quantiles: [197.68260108 197.68260108 197.68260108], A = 197.68260107728804 (+4.762910066347104e-10, -7.361791176663246e-10)
